ProcessDataID	CodeName	cathodeMass																										
1038693	QA_99_10	18.269524																										
1000846	QA_76_8	18.402104																										
998331	QA_81_6	18.184294																										
1038568	QA_99_14	18.638854																										
1014074	QA_89_12	NULL																										
994543	QA_74_1	18.563094																										
1042420	QA_105_10	18.023304																										
231811	QA_11_7	28.4109																										
1040883	QA_104_7	18.402104																										
849533	QA_61_11	19.505574																										
835811	QA_51_4	18.761964																										
997872	QA_79_14	18.023304																										
211636	QA_5_13	28.46958																										
997717	QA_75_15	18.421044																										
212345	QA_7_12	28.4109																										
845031	QA_56_4	19.237614																										
848064	QA_62_7	18.856664																										
1012950	QA_85_12	18.203234																										
1048312	QA_109_8	18.960834																										
995268	QA_80_2	18.118004																										
909357	QA_71_8	18.894544																										
849441	QA_59_6	19.505574																										
869282	QA_66_9	-12.04896																										
844816	QA_55_9	18.118004																										
931045	QA_73_1	18.430514																										
870067	QA_70_3	28.5087																										
1014099	QA_89_2	18.241114																										
1028824	QA_98_16	18.572564																										
844871	QA_53_4	18.591504																										
1048832	QA_111_2	18.553624																										
1010840	QA_86_2	18.724084																										
1048332	QA_109_11	18.856664																										
930880	QA_72_16	18.203234																										
1041318	QA_106_12	18.108534																										
995298	QA_80_8	18.184294																										
1042425	QA_105_15	17.919134																										
1035656	QA_101_1	18.089594																										
1040873	QA_104_2	17.947544																										
212363	QA_7_3	28.20552																										
231541	QA_12_12	28.52826																										
870072	QA_70_10	-12.04896																										
1048367	QA_109_12	18.667264																										
994618	QA_74_16	18.118004																										
1048152	QA_110_7	18.705144																										
849466	QA_59_12	19.601274																										
1048327	QA_109_6	18.743024																										
211627	QA_5_10	28.1664																										
849004	QA_57_6	18.989244																										
871017	QA_69_4	28.61628																										
868907	QA_65_14	-12.04896																										
1005276	QA_83_16	18.780904																										
185156	QA_2_4	28.03926																										
212351	QA_7_14	28.17618																										
849287	QA_60_15	19.802244																										
1009429	QA_82_12	18.657794																										
1012940	QA_85_2	18.108534																										
835661	QA_52_6	19.074924																										
1042795	QA_103_1	18.582034																										
1009739	QA_82_5	18.439984																										
1035616	QA_101_9	18.080124																										
848189	QA_63_16	18.941894																										
212264	QA_6_2	28.33266																										
1040888	QA_104_12	18.241114																										
869292	QA_66_11	-12.04896																										
848119	QA_63_2	19.036594																										
1012700	QA_84_6	18.089594																										
213815	QA_9_7	28.44024																										
994593	QA_74_11	18.402104																										
1010940	QA_87_9	18.184294																										
849446	QA_59_3	19.113204																										
1025830	QA_97_15	18.032774																										
1048162	QA_110_4	18.904014																										
909392	QA_71_15	18.989244																										
1028769	QA_98_7	18.278994																										
214010	QA_8_4	28.34244																										
1001066	QA_77_4	18.203234																										
213785	QA_9_12	28.24464																										
231805	QA_11_5	28.5087																										
211603	QA_5_2	28.28376																										
213986	QA_8_15	28.03926																										
